SystemsBiologyToIdentifyBiomar_DataDictionary_2022-05-26,,,,,,,,,,,,,,,,,
Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
q31_edatedm1_maternalv1,maternal_preinfant_enrolment_visit_mat_form,,text,31. Give end date of administration of Medication 1,,Date (DD/MM/YYYY),date_dmy,,,,[q27_hasanymedication] = '1' and [q30_ongomed1_maternalv1] = '0',,,,,,
q32_prevmed2_maternalv1,maternal_preinfant_enrolment_visit_mat_form,,text,32. Medication 2,,Generic preferred but brand name for combination product,,,,,[q28_prevmed1_maternalv1] > '',,,,,,
q33_sdated2_maternalv1,maternal_preinfant_enrolment_visit_mat_form,,text,33. Start date of administration of Medication 2,,Date (DD/MM/YYYY),date_dmy,,,y,[q32_prevmed2_maternalv1] > '',,,,,,
q34_ongomed2_maternalv1,maternal_preinfant_enrolment_visit_mat_form,,radio,34. Specify if on-going with Medication 2 intake,"1, Yes | 0, No",,,,,,[q32_prevmed2_maternalv1] > '',,,,,,
q35_edatead2_maternalv1,maternal_preinfant_enrolment_visit_mat_form,,text,35. Give end date of administration of Medication 2,,Date (DD/MM/YYYY),date_dmy,,,,[q32_prevmed2_maternalv1] > '' and [q34_ongomed2_maternalv1] = '0',,,,,,
q36_prevmed3_maternalv1,maternal_preinfant_enrolment_visit_mat_form,,text,36. Medication 3,,Generic preferred but brand name for combination product,,,,,[q32_prevmed2_maternalv1] > '',,,,,,
q37_sdated3_maternalv1,maternal_preinfant_enrolment_visit_mat_form,,text,37. Start date of administration of Medication 3,,Date (DD/MM/YYYY),date_dmy,,,y,[q36_prevmed3_maternalv1] > '',,,,,,
q38_ongomed3_maternalv1,maternal_preinfant_enrolment_visit_mat_form,,radio,38. Specify if on-going with Medication 3 intake,"1, Yes | 0, No",,,,,,[q36_prevmed3_maternalv1] > '',,,,,,
q39_edatead3_maternalv1,maternal_preinfant_enrolment_visit_mat_form,,text,39. Give end date of administration of Medication 3,,Date (DD/MM/YYYY),date_dmy,,,,[q38_ongomed3_maternalv1] = '0',,,,,,
q40_prevmed4_maternalv1,maternal_preinfant_enrolment_visit_mat_form,,text,40. Medication 4,,Generic preferred but brand name for combination product,,,,,[q36_prevmed3_maternalv1] > '',,,,,,
q41_sdated4_maternalv1,maternal_preinfant_enrolment_visit_mat_form,,text,41. Start date of administration of Medication 4,,Date (DD/MM/YYYY),date_dmy,,,y,[q40_prevmed4_maternalv1] > '',,,,,,
q42_ongomed4_maternalv1,maternal_preinfant_enrolment_visit_mat_form,,radio,42. Specify if on-going with Medication 4 intake,"1, Yes | 0, No",,,,,,[q40_prevmed4_maternalv1] > '',,,,,,
q43_edatead4_maternalv1,maternal_preinfant_enrolment_visit_mat_form,,text,43. Give end date of administration of Medication 4,,Date (DD/MM/YYYY),date_dmy,,,,[q42_ongomed4_maternalv1] = '0',,,,,,
q44_mat_hivstat,maternal_preinfant_enrolment_visit_mat_form,MATERNAL PIN PRICK,radio,44. Maternal HIV status (pin prick results),"1, Positive | 0, Negative | 2, Unknown",,,,,,,y,,,,,
q45_mat_hepbstat,maternal_preinfant_enrolment_visit_mat_form,,radio,45. Maternal Hep B status (pin prick results),"1, Positive | 0, Negative | 2, Unknown",,,,,,,y,,,,,
samcolle_maternalv1,maternal_preinfant_enrolment_visit_mat_form,,text,Date and Time of pinprick,,Date (DD/MM/YYYY) Time (hr:min),datetime_seconds_dmy,,,,,y,,,,,
q46_evisincon_maternalv1,maternal_preinfant_enrolment_visit_mat_form,INCLUSION CRITERIA,radio,46. Evidence of a personally signed and dated Informed Consent Document (ICD) indicating that the subject consented,"1, Yes | 0, No",,,,,,,y,,,,,
q47_gesage_maternalv1,maternal_preinfant_enrolment_visit_mat_form,,radio,47. Gestational age >37 weeks,"1, Yes | 0, No | 2, Unknown",,,,,,,,,,,,
png_inc_uncomdel,maternal_preinfant_enrolment_visit_mat_form,,radio,Uncomplicated vaginal delivery,"1, Yes | 0, No",,,,,,,y,,,,,
q48_incrimet_maternalv1,maternal_preinfant_enrolment_visit_mat_form,,radio,48. Inclusion criteria met,"1, Yes | 0, No",,,,,,,y,,,,,
q49_criterianum_maternalv1,maternal_preinfant_enrolment_visit_mat_form,,text,"49. If inclusion criteria not met, specify which criterion/criteria not met",,"If multiple criteria apply, enter all numbers and separate with comma(s)",,,,,[q48_incrimet_maternalv1] = '0',y,,,,,
q50_details_maternalv1,maternal_preinfant_enrolment_visit_mat_form,,notes,50. Enter details for inclusion criterion/criteria not met (if relevant),,,,,,,[q48_incrimet_maternalv1] = '0',,,,,,
q51_hivpos_maternalv1,maternal_preinfant_enrolment_visit_mat_form,EXCLUSION CRITERIA,radio,51. HIV positive,"1, Yes | 0, No | 2, Unknown",,,,,,,y,,,exclusion_criteria,,
q52_hepbpos_maternalv1,maternal_preinfant_enrolment_visit_mat_form,,radio,52. Hep B positive,"1, Yes | 0, No | 2, Unknown",,,,,,,y,,,exclusion_criteria,,
q53_antuse_maternalv1,maternal_preinfant_enrolment_visit_mat_form,,radio,53. Antibiotic use by mother in the week prior to delivery,"1, Yes | 0, No | 2, Unknown",,,,,,,y,,,exclusion_criteria,,
q54_tbdiag_maternalv1,maternal_preinfant_enrolment_visit_mat_form,,radio,54. TB diagnosis in mother or family member in the past 6 weeks,"1, Yes | 0, No | 2, Unknown",,,,,,,y,,,exclusion_criteria,,
q55_others_maternalv1,maternal_preinfant_enrolment_visit_mat_form,,radio,55. Other,"1, Yes | 0, No | 2, Unknown",,,,,,,,,,exclusion_criteria,,
q56_otspecify_maternalv1,maternal_preinfant_enrolment_visit_mat_form,,notes,"56. Other, specify",,,,,,,,,,,,,
q57_excrimet_maternalv1,maternal_preinfant_enrolment_visit_mat_form,,radio,57. Were any exclusion criteria met,"1, Yes | 0, No",,,,,,,y,,,,,
q58_exclcri_maternalv1,maternal_preinfant_enrolment_visit_mat_form,,text,"58. If exclusion criterion/criteria met, enter criterion/criteria number",,"If multiple criteria met, enter all numbers and separate with comma(s)",,,,,[q57_excrimet_maternalv1] = '1',y,,,,,
q59_crinotmet_maternalv1,maternal_preinfant_enrolment_visit_mat_form,,notes,59. Enter details of exclusion criterion/criteria met (if relevant),,"If multiple criteria met, enter all numbers and separate with comma(s)",,,,,[q57_excrimet_maternalv1] = '1',y,,,,,
q60_namecompleteform,maternal_preinfant_enrolment_visit_mat_form,,text,60. Name of person completing this form,,,,,,,,,,,,,
q61_signature,maternal_preinfant_enrolment_visit_mat_form,,file,61. Signature,,,signature,,,,,,,,,,
q62_date,maternal_preinfant_enrolment_visit_mat_form,,text,62. Date of form completion,,Date (DD/MM/YYYY),date_dmy,,,,,,,,,,
q63_cordblood_maternalv1,maternal_preinfant_enrolment_visit_mat_form,DELIVERY ACTIVITIES (Validation Cohort: Please collect questions 63-71 if cord blood sample is collected),radio,63. Cord blood sample collected,"1, Yes | 0, No",,,,,,[cohort_define] = '2',y,,,,,
q64_cordvol_maternalv1,maternal_preinfant_enrolment_visit_mat_form,,text,64. Volume of blood (mL),,Please enter value to one decimal place (e.g. 00.0),number_1dp,,,,[q63_cordblood_maternalv1] = '1',,,,,,
q65_date,maternal_preinfant_enrolment_visit_mat_form,,text,65. Date of cord blood collection,,Date (DD/MM/YYYY),date_dmy,,,,[q63_cordblood_maternalv1] = '1',,,,,,
q66_cordtimecol_maternalv1,maternal_preinfant_enrolment_visit_mat_form,,text,66. Time of cord blood collection (hr),,,time,,,,[q63_cordblood_maternalv1] = '1',,,,,,
q67_visit_id,maternal_preinfant_enrolment_visit_mat_form,,text,67. Cord Blood Visit ID,,,,,,,[q63_cordblood_maternalv1] = '1',y,,,,,
q68_notes_maternalv1,maternal_preinfant_enrolment_visit_mat_form,,notes,68. Notes,,,,,,,[q63_cordblood_maternalv1] = '1',,,,,,
q69_phynursena_maternalv1,maternal_preinfant_enrolment_visit_mat_form,,text,69. Physician/Nurse name,,,,,,,[q63_cordblood_maternalv1] = '1',,,,,,
q70_physign_maternalv1,maternal_preinfant_enrolment_visit_mat_form,,file,70. Signature of person completing form,,,signature,,,,[q63_cordblood_maternalv1] = '1',,,,,,
q71_phydate_maternalv1,maternal_preinfant_enrolment_visit_mat_form,,text,71. Date form completed,,Date (DD/MM/YYYY),date_dmy,,,,[q63_cordblood_maternalv1] = '1',,,,,,
q72_maternal_blood,maternal_preinfant_enrolment_visit_mat_form,DELIVERY ACTIVITIES (Validation Cohort: Please collect questions 72-80 if maternal sample collected),radio,72. Maternal blood sample collected,"1, Yes | 0, No",,,,,,[q2_inconobtain_maternalv1] = '1' and [q48_incrimet_maternalv1] = '1' and [q57_excrimet_maternalv1] = '0',y,,,,,
q73_volumeofblood,maternal_preinfant_enrolment_visit_mat_form,,text,73. Volume of maternal blood sample (mL),,Please enter value to one decimal place (e.g. 00.0),number_1dp,,,,[q72_maternal_blood] = '1',,,,,,
q74_date,maternal_preinfant_enrolment_visit_mat_form,,text,74. Date of maternal blood collection,,Date (DD/MM/YYYY),date_dmy,,,,[q72_maternal_blood] = '1',,,,,,
q75_time,maternal_preinfant_enrolment_visit_mat_form,,text,75. Time of maternal blood collection,,Date (DD/MM/YYYY),time,,,,[q72_maternal_blood] = '1',,,,,,
q76_visit_id_prematernal,maternal_preinfant_enrolment_visit_mat_form,,text,76. Maternal Visit ID,,,,,,,[q72_maternal_blood] = '1',y,,,,,
q77_alvisitcom_maternalv1,maternal_preinfant_enrolment_visit_mat_form,,radio,77. Have all maternal visit activities been completed,"1, Yes | 0, No",,,,,,[optional_mat_collected] = '1',,,,,,
q78_predelno_maternalv1,maternal_preinfant_enrolment_visit_mat_form,,text,78. Name of person completing Maternal Visit form,,,,,,,[optional_mat_collected] = '1',,,,,,
q79_signature,maternal_preinfant_enrolment_visit_mat_form,,file,79. Signature of person completing form,,,signature,,,,[optional_mat_collected] = '1',,,,,,
q80_date,maternal_preinfant_enrolment_visit_mat_form,,text,80. Date form completed,,Date (DD/MM/YYYY),date_dmy,,,,[optional_mat_collected] = '1',,,,,,
sensitization_number_v1,enrolment_visit_v1,,text,Sensitization Number,,,,,,y,,y,,,,,
cohort_define_v1,enrolment_visit_v1,,radio,Cohort Assignment,"1, Ontogeny | 2, Validation",,,,,,,y,,,,,
anc_number,enrolment_visit_v1,,text,1. ANC Number or Clinic Name,,Please provide number/name of antenatal clinic,,,,,,y,,,,,
q1_dov_enrol_v1,enrolment_visit_v1,,text,2. Date of Visit,,Date (DD/MM/YYYY),date_dmy,,,y,,y,,,,,
q2_consentobtain_enrolv1,enrolment_visit_v1,CONFIRMATION OF INFORMED CONSENT,radio,3. Has informed consent been obtained prior to subject's participation in the study?,"1, Yes | 0, No",,,,,,,y,,,,,
q3_rel_enrolv1,enrolment_visit_v1,,radio,4. Respondent relationship to infant,"0, Father | 1, Mother | 2, Other","If consenting person is ""other"" then immediately stop and rectify situation",,,,,[q2_consentobtain_enrolv1] = '1',,,,,,
q4_dob_enrolv1,enrolment_visit_v1,DEMOGRAPHIC INFORMATION,text,5. Date/Time of birth,,Date (DD/MM/YYYY) Time (hr:min),datetime_dmy,,,y,[q2_consentobtain_enrolv1] = '1',y,,,,,
q5_timeofbirth_enrolv1,enrolment_visit_v1,,text,6. Date/Time form completed,,Date (DD/MM/YYYY) Time (hr:min),datetime_dmy,,,,[q2_consentobtain_enrolv1] = '1',y,,,,,
q7_age_in_hours,enrolment_visit_v1,,calc,7. Age in hours,"datediff ([q4_dob_enrolv1], [q5_timeofbirth_enrolv1], ""h"", ""dmy"")",,,,,,[q2_consentobtain_enrolv1] = '1',,,,,,
q8_sex_enrolv1,enrolment_visit_v1,,radio,8. Sex,"1, Male | 2, Female",,,,,,[q2_consentobtain_enrolv1] = '1',y,,,,,
q9_ethnicity_enrolv1,enrolment_visit_v1,,radio,9. Ethnicity,"1, Eastern Highland | 2, Other",,,,,,[q2_consentobtain_enrolv1] = '1',,,,,,
q10_otherethnicity_enrolv1,enrolment_visit_v1,,text,"10. Other, specify",,,,,,,[q2_consentobtain_enrolv1] = '1' and [q9_ethnicity_enrolv1] = '2',,,,,,
q11_weight_enrolv1,enrolment_visit_v1,,text,11. Weight (grams),,,number,2500,9000,,[q2_consentobtain_enrolv1] = '1',,,,,,
q12_length_enrolv1,enrolment_visit_v1,,text,12. Length (cm),,,number,45,70,,[q2_consentobtain_enrolv1] = '1',,,,,,
q13_temp_enrolv1,enrolment_visit_v1,,text,13. Temperature (Celsius),,,number_1dp,36.5,37.7,,[q2_consentobtain_enrolv1] = '1',,,,,,
q14_resprate_enrolv1,enrolment_visit_v1,,text,14. Respiratory rate (cycles/min),,,number,30,55,,[q2_consentobtain_enrolv1] = '1',,,,,,
q15_heartrate_enrolv1,enrolment_visit_v1,,text,15. Heart rate (beats/min),,,number,90,150,,[q2_consentobtain_enrolv1] = '1',,,,,,
q16_hcircum_enrolv1,enrolment_visit_v1,,text,16. Head circumference (cm),,,number,32,45,,[q2_consentobtain_enrolv1] = '1',,,,,,
q17_apgarsco_enrolv1,enrolment_visit_v1,,text,17. APGAR Score (5th minute),,,number,8,10,,[q2_consentobtain_enrolv1] = '1',,,,,,
q18_comments_enrolv1,enrolment_visit_v1,,notes,18. Comments,,,,,,,[q2_consentobtain_enrolv1] = '1',,,,,,
q19_medichistory_enrolv1,enrolment_visit_v1,PHYSICAL EVALUATION,notes,19. Medical History,,,,,,y,[q2_consentobtain_enrolv1] = '1',,,,,,
q20_apearanega_enrolv1,enrolment_visit_v1,PHYSICAL ASSESSMENT,radio,20. General appearance,"1, Normal | 2, Abnormal",,,,,,[q2_consentobtain_enrolv1] = '1',,,,,,
q21_comments,enrolment_visit_v1,,notes,21. Comments,,,,,,,[q2_consentobtain_enrolv1] = '1',,,,,,
q22_egawks_enrolv1,enrolment_visit_v1,,text,22. Estimated Gestational Age (weeks),,,number,36,42,,[q2_consentobtain_enrolv1] = '1',,,,,,
q23_appearcomment_enrolv1,enrolment_visit_v1,,notes,23. Comments,,,,,,,[q2_consentobtain_enrolv1] = '1',,,,,,
q24_urogenital_enrolv1,enrolment_visit_v1,,radio,24. Urogenital/Genitalia,"1, Normal | 2, Abnormal",,,,,,[q2_consentobtain_enrolv1] = '1',,,,,,
q25_urogenital_enrolv1,enrolment_visit_v1,,notes,25. Comments,,,,,,,[q2_consentobtain_enrolv1] = '1',,,,,,
q26_extremites_enrolv1,enrolment_visit_v1,,radio,26. Extremities (to include hip exam),"1, Normal | 2, Abnormal",,,,,,[q2_consentobtain_enrolv1] = '1',,,,,,
q27_extremitescom_enrolv1,enrolment_visit_v1,,notes,27. Comments,,,,,,,[q2_consentobtain_enrolv1] = '1',,,,,,
q28_skin_enrolv1,enrolment_visit_v1,,radio,28. Skin,"1, Normal | 2, Abnormal",,,,,,[q2_consentobtain_enrolv1] = '1',,,,,,
q29_skincomment_enrolv1,enrolment_visit_v1,,notes,29. Comments,,,,,,,[q2_consentobtain_enrolv1] = '1',,,,,,
q30_centapearance_enrolv1,enrolment_visit_v1,,radio,30. Central Nervous System,"1, Normal | 2, Abnormal",,,,,,[q2_consentobtain_enrolv1] = '1',,,,,,
q31_centnercomment_enrolv1,enrolment_visit_v1,,notes,31. Comments,,,,,,,[q2_consentobtain_enrolv1] = '1',,,,,,
q32_cardiovascula_enrolv1,enrolment_visit_v1,,radio,32. Cardiovascular System,"1, Normal | 2, Abnormal",,,,,,[q2_consentobtain_enrolv1] = '1',,,,,,
q33_o2_sat,enrolment_visit_v1,,text,33. O2 sat (%),,,integer,1,100,,[q2_consentobtain_enrolv1] = '1',,,,,,
q34_cardvascomment_enrolv1,enrolment_visit_v1,,notes,34. Comments,,,,,,,[q2_consentobtain_enrolv1] = '1',,,,,,
q35_respiratory_enrolv1,enrolment_visit_v1,,radio,35. Respiratory System,"1, Normal | 2, Abnormal",,,,,,[q2_consentobtain_enrolv1] = '1',,,,,,
q36_respcomment_enrolv1,enrolment_visit_v1,,notes,36. Comments,,,,,,,[q2_consentobtain_enrolv1] = '1',,,,,,
q37,enrolment_visit_v1,,radio,37. Abdomen (to include anal patency),"1, Normal | 2, Abnormal",,,,,,[q2_consentobtain_enrolv1] = '1',,,,,,
q38_abdomcomment_enrolv1,enrolment_visit_v1,,notes,38. Comments,,,,,,,[q2_consentobtain_enrolv1] = '1',,,,,,
q39_spine_enrolv1,enrolment_visit_v1,,radio,39. Spine,"1, Normal | 2, Abnormal",,,,,,[q2_consentobtain_enrolv1] = '1',,,,,,
q40_spinecom_enrovl1,enrolment_visit_v1,,notes,40. Comments,,,,,,,[q2_consentobtain_enrolv1] = '1',,,,,,
q41_otherpa_enrolv1,enrolment_visit_v1,,radio,41. Other physical finding,"1, Yes | 0, None",,,,,,[q2_consentobtain_enrolv1] = '1',,,,,,
q42_otherspecifypa_enrolv1,enrolment_visit_v1,,notes,"42. If yes, please specify",,,,,,,[q2_consentobtain_enrolv1] = '1' and [q41_otherpa_enrolv1] = '1',,,,,,
q43_assesmentdia_enrolv1,enrolment_visit_v1,,notes,43. Assessment,,,,,,,[q2_consentobtain_enrolv1] = '1',,,,,,
q44_prevmedicat1_enrolv1,enrolment_visit_v1,MEDICATIONS,radio,44. Has any vaccine been administered,"1, Yes | 0, No",,,,,,[q2_consentobtain_enrolv1] = '1',,,,,,
q45_prevmed1_enrolv1,enrolment_visit_v1,,text,45. Vaccination 1,,,,,,,[q2_consentobtain_enrolv1] = '1' and [q44_prevmedicat1_enrolv1] = '1',,,,,,
q45_prevmed1batch,enrolment_visit_v1,,text,Vaccination 1 batch #,,,,,,,[q2_consentobtain_enrolv1] = '1' and [q44_prevmedicat1_enrolv1] = '1',,,,,,
q46_dateprevmed1_enrolv1,enrolment_visit_v1,,text,46. Date/Time of Vaccine 1 administration,,Date (DD/MM/YYYY),datetime_dmy,,,,[q2_consentobtain_enrolv1] = '1' and [q44_prevmedicat1_enrolv1] = '1',,,,,,
q47_secondvacgiven,enrolment_visit_v1,,radio,Was a second vaccination given?,"1, Yes | 0, No",,,,,,[q2_consentobtain_enrolv1] = '1' and [q44_prevmedicat1_enrolv1] = '1',,,,,,
q47_prevmed2_enrolv1,enrolment_visit_v1,,text,47. Vaccination 2,,,,,,,[q2_consentobtain_enrolv1] = '1' and [q47_secondvacgiven] = '1',,,,,,
q47_prevmed2batch_enrolv1,enrolment_visit_v1,,text,Vaccination 2 batch  #,,,,,,,[q2_consentobtain_enrolv1] = '1' and [q47_secondvacgiven] = '1',,,,,,
q48_dateprevmed2_enrolv1,enrolment_visit_v1,,text,48. Date/Time of Vaccination 2 administration,,Date (DD/MM/YYYY),datetime_dmy,,,,[q2_consentobtain_enrolv1] = '1' and [q47_secondvacgiven] = '1',,,,,,
q48_thirdvacgiven,enrolment_visit_v1,,radio,Was a third vaccination given,"1, Yes | 0, No",,,,,,[q2_consentobtain_enrolv1] = '1' and [q47_secondvacgiven] = '1',,,,,,
q49_prevmed3_enrolv1,enrolment_visit_v1,,text,49. Vaccination 3,,,,,,,[q2_consentobtain_enrolv1] = '1' and [q48_thirdvacgiven] = '1',,,,,,
q49_prevmed3batch,enrolment_visit_v1,,text,Vaccination 3 batch #,,,,,,,[q2_consentobtain_enrolv1] = '1' and [q48_thirdvacgiven] = '1',,,,,,
q50_dateprevmed3_enrolv1,enrolment_visit_v1,,text,50. Date/Time of Vaccination 3 administration,,Date (DD/MM/YYYY),datetime_dmy,,,,[q2_consentobtain_enrolv1] = '1' and [q48_thirdvacgiven] = '1',,,,,,
q51_routinemed_enrolv1,enrolment_visit_v1,,radio,51. Routine medication given,"1, Yes | 0, No",,,,,,,,,,,,
q52_tetracycline_enrolv1,enrolment_visit_v1,ROUTINE MEDICATIONS,radio,52. Tetracycline eye ointment,"1, Yes | 0, No",,,,,,[q2_consentobtain_enrolv1] = '1',,,,routine_meds,,
q53_vitamin_k,enrolment_visit_v1,,radio,53. Vitamin K,"1, Yes | 0, No",,,,,,[q2_consentobtain_enrolv1] = '1',,,,routine_meds,,
q54_othermed_enrolv1,enrolment_visit_v1,,radio,54. Has any other medication been given,"1, Yes | 0, No",,,,,,[q2_consentobtain_enrolv1] = '1',,,,,,
q55_medication1,enrolment_visit_v1,,text,55. Medication 1,,,,,,,[q2_consentobtain_enrolv1] = '1' and [q54_othermed_enrolv1] = '1',,,,,,
q56_startdateadmin1,enrolment_visit_v1,,text,56. Start date of Medication 1 administration,,Date (DD/MM/YYYY),date_dmy,,,,[q2_consentobtain_enrolv1] = '1' and [q54_othermed_enrolv1] = '1' and [q55_medication1] > '',,,,,,
q57_specifymed1,enrolment_visit_v1,,radio,57. Specify if ongoing with Medication 1 intake,"1, Yes | 0, No",,,,,,[q2_consentobtain_enrolv1] = '1' and [q54_othermed_enrolv1] = '1' and [q55_medication1] > '',,,,,,
q58_enddateadmin1,enrolment_visit_v1,,text,58. End date of Medication 1 administration,,Date (DD/MM/YYYY),date_dmy,,,,[q57_specifymed1] = '0',,,,,,
