pathway_id	description	pvalue	bonferroni	n_cd_genes	n_bg_genes	gene_ratio	level_1	level_2	cd_genes	bg_genes
R-HSA-2173796	SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription	1.032e-17	1.033e-14	10	28	0.36	Signal Transduction	Signaling by TGFB family members	CDK9;E2F4;HDAC1;JUNB;SMAD4;SMAD3;SMAD7;MYC;RBL1;SP1	CDK8;CDK9;CDKN2B;E2F4;E2F5;SNW1;ATP1B4;WWTR1;HDAC1;JUNB;SMAD2;SMAD3;SMAD4;SMAD7;MEN1;MYC;SERPINE1;RNF111;RBL1;TGIF2;SP1;TFDP1;TFDP2;TGIF1;CCNK;CCNC;CCNT1;CCNT2
R-HSA-913531	Interferon Signaling	4.208e-16	4.212e-13	34	193	0.18	Immune System	Cytokine Signaling in Immune system	EGR1;EIF4A2;FLNA;DDX58;IFI6;HLA-DRA;HLA-DRB1;IFIT2;IFIT1;IFIT3;IFNAR2;IFNB1;CIITA;IRF8;IRF1;IRF4;IRF5;IRF6;MX1;HERC5;PLCG1;NEDD4;PML;XAF1;B2M;PTPN1;PTPN11;SP100;STAT2;BST2;PTPN6;SUMO1;ISG15;NUP93	TRIM10;ADAR;TRIM22;IRF9;IFITM3;IFI30;TRIM38;IFITM2;TRIM3;NUP50;TRIM31;NUPL2;USP18;GBP4;GBP5;TRIM6;NUP35;GBP6;EGR1;EIF4A1;EIF4A2;EIF4E;EIF4G1;EIF4G2;PDE12;FCGR1A;FCGR1B;TRIM35;FLNA;NUP205;FLNB;NUP210;NUP160;TRIM2;NUP188;DDX58;NUP62;TRIM29;IFI6;ARIH1;SAMHD1;GBP1;GBP2;GBP3;HLA-A;HLA-B;HLA-C;HLA-DPA1;HLA-DPB1;HLA-DQA2;HLA-DQA1;HLA-DQA2;HLA-DQB1;HLA-DQB2;HLA-DRA;HLA-DRB1;HLA-DRB3;HLA-DRB4;CR788250.1;HLA-DRB5;HLA-E;HLA-F;HLA-G;EIF4E3;ICAM1;IRF8;IFI27;IFI35;IFIT2;IFIT1;IFIT3;IFNA1;IFNA2;IFNA4;IFNA5;IFNA6;IFNA7;IFNA8;IFNA10;IFNA13;IFNA14;IFNA16;IFNA17;IFNA21;IFNAR1;IFNAR2;IFNB1;IFNG;IFNGR1;IFNGR2;NUP43;IRF1;IRF2;IRF3;IRF4;IRF5;IRF6;IRF7;ISG20;JAK1;JAK2;KPNA1;KPNB1;KPNA2;KPNA3;KPNA4;KPNA5;GBP7;KPNA7;CIITA;MID1;MT2A;MX1;MX2;NCAM1;NEDD4;NUP88;NUP98;OAS1;OAS2;OAS3;TRIM17;HERC5;IP6K2;PIN1;PLCG1;NUP54;PML;TRIM34;XAF1;PPM1B;TRIM68;TRIM62;NDC1;NUP133;PRKCD;EIF2AK2;B2M;NUP107;PTAFR;PTPN1;PTPN2;PTPN6;PTPN11;RANBP2;RNASEL;ABCE1;SEC13;SP100;TRIM21;STAT1;STAT2;BST2;TPR;TYK2;UBA7;UBE2E1;UBE2N;SUMO1;VCAM1;TRIM25;TRIM26;NUP37;TRIM48;NUP85;TRIM46;NUP214;TRIM45;AAAS;CAMK2A;CAMK2B;TRIM8;CAMK2D;CAMK2G;SEH1L;RAE1;IFITM1;TRIM5;PIAS1;OASL;SOCS1;EIF4G3;SOCS3;RSAD2;UBE2L6;EIF4E2;CD44;NUP155;ISG15;NUP93;EIF4A3;NUP58;TRIM14;POM121;NUP153
R-HSA-5365859	RA biosynthesis pathway	1.867e-15	1.869e-12	7	22	0.32	Signal Transduction	Signaling by Nuclear Receptors	RDH10;SDR16C5;ALDH1A1;ALDH1A3;RDH11;ALDH1A2;DHRS3	DHRS9;DHRS4;RDH13;ADH1A;ADH1C;ADH4;CRABP1;RDH10;CYP26A1;SDR16C5;ALDH1A1;ALDH1A3;CYP26C1;RDH11;CYP26B1;RDH14;RDH5;ALDH8A1;RDH16;AKR1C3;;ALDH1A2;DHRS3
R-HSA-1169408	ISG15 antiviral mechanism	1.872e-15	1.874e-12	11	67	0.16	Immune System	Cytokine Signaling in Immune system	EIF4A2;DDX58;IFIT1;IRF3;MX1;NEDD4;HERC5;PLCG1;STAT1;ISG15;NUP93	NUP50;NUPL2;USP18;NUP35;EIF4A1;EIF4A2;EIF4E;EIF4G1;EIF4G2;NUP205;FLNB;NUP210;NUP160;NUP188;DDX58;NUP62;ARIH1;EIF4E3;IFIT1;NUP43;IRF3;JAK1;KPNA1;KPNB1;KPNA2;KPNA3;KPNA4;KPNA5;KPNA7;MX1;MX2;NEDD4;NUP88;NUP98;HERC5;PIN1;PLCG1;NUP54;PPM1B;NDC1;NUP133;EIF2AK2;NUP107;RANBP2;SEC13;STAT1;TPR;UBA7;UBE2E1;UBE2N;TRIM25;NUP37;NUP85;NUP214;AAAS;SEH1L;RAE1;EIF4G3;UBE2L6;EIF4E2;NUP155;ISG15;NUP93;EIF4A3;NUP58;POM121;NUP153
R-HSA-2559583	Cellular Senescence	1.035e-14	1.036e-11	27	189	0.14	Cellular responses to stimuli	Cellular responses to stress	CEBPB;CDK2;MAPK14;ETS1;ETS2;E2F1;KDM6B;FOS;POT1;TINF2;HIST1H1A;IFNB1;JUN;NFKB1;TERF2IP;RB1;RBBP4;RBBP7;RELA;SP1;STAT3;TERF1;TXN;HIST1H2BD;TP53;HIST2H2BE;CCNE2	COMMD3-BMI1;RAD50;CDK2;CDK4;CDK6;CDKN1A;CDKN1B;H2BFS;CDKN2A;CDKN2B;CDKN2C;CDKN2D;ANAPC10;CEBPB;KAT5;EHMT2;UBE2C;ANAPC16;HIST4H4;HIST2H3C;HIST3H2BB;MAPK14;E2F1;E2F2;E2F3;PHC1;PHC2;AGO3;AGO4;ERF;ETS1;ETS2;EZH2;SCMH1;TNIK;TNRC6B;KDM6B;CBX6;SUZ12;CABIN1;FOS;CDC26;HIST1H2BA;ASF1A;ANAPC15;POT1;TINF2;AGO1;TNRC6A;UBN1;ANAPC2;ANAPC4;H1F0;HIST1H1C;HIST1H1D;HIST1H1E;HIST1H1B;HIST1H2AE;HIST1H2AD;H2AFX;H2AFZ;HIST1H2BD;HIST1H2BB;H3F3A;H3F3B;HIST1H1A;HMGA1;HIST2H3A;ID1;IFNB1;IGFBP7;IL1A;IL6;CXCL8;JUN;LMNB1;MDM2;MDM4;MAP3K5;MOV10;MRE11A;MRE11;NBN;ATM;H2AFB1;NFKB1;MINK1;FZR1;ANAPC5;ANAPC7;ANAPC11;TERF2IP;HIST2H4B;H2AFJ;MAPK7;MAPK8;MAPK11;MAPK9;MAPK10;MAP2K3;MAP2K6;MAP2K7;CBX8;EP400;TNRC6C;RB1;RBBP4;RBBP7;RELA;RING1;RNF2;RPS6KA1;RPS6KA2;RPS6KA3;MAP2K4;ANAPC1;BMI1;ACD;HIST2H3D;SP1;STAT3;TERF1;TERF2;TFDP1;TFDP2;TP53;HIST2H2AA4;HIRA;TXN;UBE2D1;UBE2E1;MAPKAPK3;EHMT1;PHC3;HMGA2;HIST3H3;HIST1H4I;HIST1H2AJ;HIST1H2AC;HIST1H2AB;HIST2H2AA3;HIST2H2AC;HIST1H2BG;HIST1H2BL;HIST1H2BN;HIST1H2BM;HIST1H2BF;HIST1H2BE;HIST1H2BH;HIST1H2BI;HIST1H2BC;HIST1H2BO;HIST2H2BE;HIST1H3A;HIST1H3D;HIST1H3C;HIST1H3E;HIST1H3I;HIST1H3G;HIST1H3J;HIST1H3H;HIST1H3B;HIST1H4A;HIST1H4D;HIST1H4F;HIST1H4K;HIST1H4J;HIST1H4C;HIST1H4H;HIST1H4B;HIST1H4E;HIST1H4L;HIST2H4A;CBX2;HIST1H2BK;CBX4;MAPKAPK5;CDC23;EED;CDC16;CCNA2;CCNA1;HIST1H3F;HIST1H2BJ;CCNE1;CCNE2;MAPKAPK2;H2AFV;MAP4K4;CDC27
R-HSA-1650814	Collagen biosynthesis and modifying enzymes	2.64e-11	2.643e-8	8	67	0.12	Extracellular matrix organization	Collagen formation	CRTAP;COL6A2;COL9A2;P4HA1;P4HB;PLOD1;PPIB;P3H1	CRTAP;P3H3;COL1A1;COL1A2;COL2A1;COL3A1;COL4A1;COL4A2;COL4A3;COL4A4;COL4A5;COL4A6;COL5A1;COL5A2;COL6A1;COL6A2;COL6A3;COL7A1;COL8A1;COL8A2;COL9A1;COL9A2;COL9A3;COL10A1;COL11A1;COL11A2;COL12A1;COL13A1;COL15A1;COL16A1;COL17A1;COL19A1;COL6A6;COL26A1;ADAMTS14;COL22A1;COLGALT2;COL24A1;COL6A5;PCOLCE2;P4HA3;COL28A1;P4HA1;P4HB;COL5A3;PCOLCE;PLOD1;PLOD2;PPIB;P3H2;COL20A1;P3H1;BMP1;TLL1;TLL2;COL14A1;COLGALT1;COL18A1;COL21A1;COL25A1;COL27A1;SERPINH1;P4HA2;PLOD3;COL23A1;ADAMTS3;ADAMTS2
R-HSA-196854	Metabolism of vitamins and cofactors	4.761e-11	4.766e-8	25	180	0.14	Metabolism	Metabolism of vitamins and cofactors	CYB5A;AKT1;ACACA;HLCS;AOX1;IDH1;HSP90AA1;APOE;LRP1;PC;RDH11;PANK1;BCO1;PNLIP;PANK4;RNLS;APOM;RBP1;RBP2;RBP4;SLC2A1;TTR;VKORC1;PANK3;PANK2	GPC6;NAMPT;GPHN;SLC19A2;MTHFS;MTHFD2;ALDH1L1;AKR1C4;SLC46A1;SLC52A3;CTRC;GSTO2;CLPS;APOA1BP;NAXE;NADK2;PARP4;CTRB1;PLB1;CYB5A;VKORC1L1;CYP8B1;ALDH1L2;SLC5A8;AKR1C1;MMAA;DHFR;CYB5R3;DHFRL1;DHFR2;AKT1;FASN;GPC2;GPC4;GPC5;NMNAT2;QPRT;FOLR2;FPGS;PDSS1;MTHFD1L;MMACHC;LRP10;GCH1;GCHFR;GIF;TPK1;GPC3;NMRK2;MMADHC;MOCS3;GPC1;UBIAD1;LRP12;ACACA;HLCS;AOX1;ACACB;MMAB;HSP90AA1;HSPG2;APOA1;APOA2;APOB;GPIHBP1;IDH1;APOC4-APOC2;APOC2;APOC3;APOE;NMNAT3;AGRN;LPL;LRP1;LRP2;MOCS1;MOCS2;ABCC1;CTRB2;MTHFD2L;MTHFD1;MTHFR;MTR;MTRR;MUT;NNMT;NOS3;NT5E;PC;PCCA;PCCB;RDH11;PDZD11;CD320;ENPP1;ENPP2;ENPP3;COQ3;PANK1;BCO1;ACP5;PNLIP;PARP14;PARP16;NMRK1;MOCOS;SLC52A1;PNPO;NADSYN1;PANK4;RFK;RNLS;CARKD;NAXD;LMBRD1;PRKG2;APOM;PRSS1;PRSS3;MCCC1;PARP6;AKR1B10;PDSS2;PTGIS;PTGS2;PTS;ABCD4;RBP1;RBP2;RBP4;SLC25A19;PPCDC;AASDHPPT;SDC1;SDC2;SDC4;MCCC2;SHMT1;SHMT2;NMNAT1;SLC2A1;SLC2A3;NADK;SLC19A1;SPR;BST1;BTD;TCN1;TCN2;TTPA;TTR;LRP8;VKORC1;THTPA;SLC52A2;PANK3;PARP8;PPCS;PANK2;CUBN;FLAD1;SLC25A16;COASY;SLC19A3;SLC25A32;AMN;NUDT12;PARP9;BCO2;PARP10;PDXK;AKR1C3;;VNN2;VNN1;SLC5A6;NFS1;LRAT;NAPRT;SLC22A13;GSTO1;CD38;SDC3;SLC23A2;SLC23A1
R-HSA-9018519	Estrogen-dependent gene expression	1.891e-10	1.893e-7	25	150	0.17	Signal Transduction	Signaling by Nuclear Receptors	CDK9;ATF2;CREBBP;EP300;ESR1;KDM4B;FOS;HIST1H2BD;HDAC1;HSP90AA1;HSP90AB1;JUN;MYB;MYC;POLR2A;POLR2J;POLR2F;POU2F1;RAD21;SP1;TBP;YY1;SMC1A;HIST2H2BE;RUNX1	CDK9;H2BFS;STAG1;CARM1;NCOA2;KAT5;PTGES3;STAG2;CHD1;HIST4H4;HIST2H3C;HIST3H2BB;ATF2;CREBBP;CTSD;DDX5;AGO3;AGO4;KCTD6;EP300;ERBB4;ESR1;FKBP4;KDM1A;KDM4B;TNRC6B;KANK1;FOS;FOSB;NR5A2;HIST1H2BA;GATA3;AGO1;AGO2;TNRC6A;GTF2A1;GTF2A2;GTF2F1;GTF2F2;HIST1H2AE;HIST1H2AD;H2AFX;H2AFZ;HIST1H2BD;HIST1H2BB;H3F3A;H3F3B;HDAC1;FOXA1;PRMT1;HSP90AA1;HSP90AB1;HIST2H3A;JUN;JUND;KPNA2;MOV10;CITED1;MYB;MYC;H2AFB1;CXXC5;PGR;POLR2A;POLR2B;POLR2C;POLR2D;POLR2E;POLR2F;POLR2G;POLR2H;POLR2I;POLR2J;POLR2K;POLR2L;POU2F1;MED1;HIST2H4B;H2AFJ;GPAM;TNRC6C;RAD21;CCND1;BCL2;CXCL12;HIST2H3D;SP1;TBP;TFF1;TFF3;TGFA;TLE3;HIST2H2AA4;USF1;USF2;YY1;ZNF217;NCOA3;NRIP1;SMC1A;HIST1H4I;AXIN1;HIST1H2AJ;HIST1H2AC;HIST1H2AB;HIST2H2AA3;HIST2H2AC;HIST1H2BG;HIST1H2BL;HIST1H2BN;HIST1H2BM;HIST1H2BF;HIST1H2BE;HIST1H2BH;HIST1H2BI;HIST1H2BC;HIST1H2BO;HIST2H2BE;HIST1H3A;HIST1H3D;HIST1H3C;HIST1H3E;HIST1H3I;HIST1H3G;HIST1H3J;HIST1H3H;HIST1H3B;HIST1H4A;HIST1H4D;HIST1H4F;HIST1H4K;HIST1H4J;HIST1H4C;HIST1H4H;HIST1H4B;HIST1H4E;HIST1H4L;HIST2H4A;HIST1H2BK;RUNX1;NCOA1;CBFB;KAT2B;HIST1H3F;HIST1H2BJ;CCNT1;SMC3;EBAG9;H2AFV;GREB1
R-HSA-3108232	SUMO E3 ligases SUMOylate target proteins	3.927e-10	3.931e-7	24	170	0.14	Metabolism of proteins	Post-translational protein modification	TRIM28;DAXX;EP300;NR3C1;ESR1;HDAC1;HDAC2;HNRNPK;AR;PML;RAD21;RARA;RELA;SP3;SP100;BRCA1;TP53;VDR;SUMO2;SMC1A;IKBKG;IKBKE;NUP93;HDAC4	COMMD3-BMI1;NR1H3;TRIM28;TOPORS;STAG1;CDKN2A;PIAS3;DDX17;CETN2;STAG2;NUP50;CHD3;NUPL2;PARK7;UHRF2;HIST4H4;NUP35;PARP1;CTBP1;DAXX;DDX5;RNF168;DNMT1;DNMT3B;PHC1;PHC2;NSMCE1;EP300;ESR1;SCMH1;SMC5;NUP205;NUP210;NUP160;SATB2;NUP188;SUZ12;NUP62;NR5A2;NR5A1;SIN3A;NSMCE2;HIPK2;NR3C1;HDAC1;HDAC2;HIC1;HNRNPC;HNRNPK;BIRC5;NUP43;INCENP;ING2;AR;MBD1;MDM2;MITF;NR3C2;NFKB2;NFKBIA;NPM1;NUP88;NUP98;EID3;PCNA;HDAC7;PIAS4;NOP58;PGR;NUP54;PML;PPARA;NSMCE4A;CDCA8;HIST2H4B;NDC1;NUP133;NSMCE3;NUP107;CBX8;MKL1;RAD21;RAD52;RANBP2;RANGAP1;RARA;ZNF350;RELA;TRIM27;RING1;RNF2;RORA;RPA1;RXRA;SAFB;SATB1;SEC13;BLM;BMI1;SUMO3;SUMO2;SP3;SP100;FOXL2;BRCA1;TDG;TFAP2C;THRA;THRB;TOP1;TOP2A;TOP2B;TP53;TP53BP1;TPR;UBE2I;SUMO1;NR1H2;VDR;VHL;WRN;XPC;XRCC4;ZNF131;PCGF2;NUP37;SMC6;NUP85;PHC3;NUP214;AAAS;SEH1L;NRIP1;SMC1A;HIST1H4I;HIST1H4A;HIST1H4D;HIST1H4F;HIST1H4K;HIST1H4J;HIST1H4C;HIST1H4H;HIST1H4B;HIST1H4E;HIST1H4L;HIST2H4A;L3MBTL2;CBX2;RAE1;IKBKG;CBX4;PIAS1;NCOA1;NR1I2;HERC2;PIAS2;MTA1;SMC3;ZBED1;AURKB;NUP155;IKBKE;MDC1;NUP93;HDAC4;NUP58;POM121;NR1H4;NUP153;CASP8AP2
R-HSA-204174	Regulation of pyruvate dehydrogenase (PDH) complex	4.357e-10	4.361e-7	5	16	0.31	Metabolism	The citric acid (TCA) cycle and respiratory electron transport	DLAT;DLD;PDHA1;PDHB;PDHX	DLAT;DLD;GSTZ1;PDHA1;PDHA2;PDHB;PDK1;PDK2;PDK3;PDK4;PPARD;PDP1;PDPR;PDP2;RXRA;PDHX
R-HSA-449836	Other interleukin signaling	6.03e-10	6.036e-7	28	221	0.13	Immune System	Cytokine Signaling in Immune system	CSF1R;CSF2;CSF2RA;CSF2RB;CSF3R;EGFR;FYN;RASGRP3;IL2;ITGB3;PDGFB;PDGFRB;PHB;PIK3R2;PTK2;PTPN11;RAF1;ACTB;SHC1;SPTA1;SPTBN1;TLN1;VCL;YWHAB;KBTBD7;CUL3;IRS2;GAB2	RANBP9;RASGRP1;RASA4;CNKSR1;NRG3;FRS3;FRS2;DUSP10;RASGRP4;THEM4;CSF1;CSF1R;CSF2;CSF2RA;CSF2RB;CSF3;CSF3R;CSK;NRG4;IL34;PAQR3;KLB;DAB2IP;SPRED1;IFNLR1;DLG1;DLG2;DLG3;DLG4;HBEGF;DUSP1;DUSP2;DUSP4;DUSP5;DUSP6;DUSP7;DUSP8;DUSP9;EGF;EGFR;TXLNA;SPRED2;ERBB2;ERBB3;ERBB4;EREG;AKT2;RASGEF1A;FGA;FGB;FGF1;FGF2;FGF3;FGF4;FGF5;FGF6;FGF7;FGF8;FGF9;FGF10;FGFR1;FGFR3;FGFR2;FGFR4;FGG;RASA3;CNKSR2;FLT3;FLT3LG;FN1;FYN;GAB1;EPGN;SHC2;RASGRP3;FGF20;GDNF;GFRA1;GFRA2;GFRA3;FGF22;LAT;IFNL1;KSR2;ANGPT1;LAMTOR2;GRIN1;GRIN2B;GRIN2D;HGF;NRG1;PIK3R4;IL2;IL2RA;IL2RB;IL2RG;IL3;IL3RA;IL5;IL5RA;IL10RB;IL16;IRS1;ITGA2B;ARAF;ITGB3;JAK1;JAK2;JAK3;AREG;KIT;SPRED3;ARRB1;ARRB2;MARK3;MET;KITLG;MAP3K11;NCAM1;NEFL;NF1;NRTN;PEBP1;SPTBN5;PDE3B;PDGFA;PDGFB;PDGFRA;PDGFRB;PDPK1;PHB;PIK3C3;PIK3CB;PIK3R2;SHC3;TLR9;APBB1IP;IL17RD;PPP2R5A;PPP2R5B;PPP2R5C;PPP2R5D;PPP2R5E;PPP5C;MAP2K1;MAP2K2;PSPN;PRTN3;PTK2;LRRC7;SPTBN4;TRIB3;PTPN11;PTPRA;PTPRZ1;RAF1;RAP1A;RAP1B;RASA1;RASA2;RASGRF1;RASGRF2;RET;ACTB;SDC1;GFRA4;SHC1;RASAL3;SNAP25;SPTA1;SPTAN1;SPTB;SPTBN1;SPTBN2;BRAF;STX1A;STX3;STX4;STXBP2;VAMP2;BTC;TEK;TGFA;TLN1;ACTG1;TYK2;VCL;VWF;YWHAB;FGF23;DUSP16;CAMK2A;CAMK2B;CAMK2D;CAMK2G;BRAP;CASP3;KBTBD7;WDR83;RASAL1;CUL3;LAMTOR3;IRS2;PEA15;ACTN2;FGF18;FGF17;FGF16;IQGAP1;SYNGAP1;KSR1;ARTN;CD4;IL32;KL;RASAL2;NRG2;RAPGEF2;GAB2;FGF19;RBX1
R-HSA-5621575	CD209 (DC-SIGN) signaling	1.127e-9	1.128e-6	10	18	0.56	Immune System	Innate Immune System	CREBBP;EP300;FYN;CD209;LYN;NFKB1;PRKACA;RAF1;RELA;RELB	CREBBP;EP300;FYN;CD209;ICAM2;ICAM3;LYN;NFKB1;PAK1;PAK2;PAK3;PRKACA;PRKACB;PRKACG;RAF1;RELA;RELB;RPS6KA5
R-HSA-4090294	SUMOylation of intracellular receptors	4.286e-9	4.29e-6	8	27	0.3	Metabolism of proteins	Post-translational protein modification	ESR1;NR3C1;AR;RARA;SUMO2;SUMO1;VDR;HDAC4	NR1H3;PIAS3;ESR1;NR5A2;NR5A1;NR3C1;AR;NR3C2;PIAS4;PGR;PPARA;RARA;RORA;RXRA;SUMO3;SUMO2;THRA;THRB;UBE2I;SUMO1;NR1H2;VDR;PIAS1;NR1I2;PIAS2;HDAC4;NR1H4
R-HSA-168638	NOD1/2 Signaling Pathway	1.929e-8	1.931e-5	11	31	0.35	Immune System	Innate Immune System	CHUK;TAB3;BIRC2;IKBKB;IRAK1;MAPK13;MAPK14;TRAF6;CASP4;CASP8;IKBKG	NOD1;TAB1;CHUK;MAPK14;CYLD;TAB2;TAB3;BIRC2;BIRC3;IKBKB;IRAK1;IRAK2;TMEM189-UBE2V1;MAPK11;MAPK13;MAP2K6;MAPK12;NOD2;MAP3K7;TNFAIP3;TRAF6;UBE2N;UBE2V1;CASP1;CASP2;CASP4;ITCH;CASP8;CASP9;IKBKG;RIPK2
R-HSA-3371568	Attenuation phase	3.517e-8	3.521e-5	7	14	0.5	Cellular responses to stimuli	Cellular responses to stress	CREBBP;EP300;HSPA1A;HSPA1B;HSPA8;HSP90AA1;HSP90AB1	PTGES3;CREBBP;EP300;FKBP4;HSBP1;HSF1;HSPA1A;HSPA1B;HSPA1L;HSPA2;HSPA8;HSP90AA1;HSP90AB1;DNAJB1
R-HSA-9006934	Signaling by Receptor Tyrosine Kinases	3.785e-8	3.789e-5	58	410	0.14	Signal Transduction	Signaling by Receptor Tyrosine Kinases	WWP1;CDC37;COL6A2;COL9A2;CRKL;CLTC;CRK;MAPK14;AP2A1;CREB1;EGFR;ESR1;PTK2B;CTNNB1;FYN;NCSTN;APOE;IGF1R;AKT1;HSP90AA1;ITGB3;STMN1;LYN;MST1;NCK1;NCF4;NEDD4;PDGFB;PDGFRB;POLR2A;POLR2F;POLR2J;PRKACA;MAPK13;PSEN1;PSEN2;PTPN6;PTPN1;PTK2;PXN;ACTB;SH3GL2;SHC1;SPP1;PIK3R2;PLCG1;PTPN11;STAT1;STAT3;THBS1;VAV1;VEGFA;CUL5;NCK2;IRS2;HGS;GAB2;CDC42	AKT3;ABI1;SH2B3;CDH5;RANBP9;PTPRU;DNAL4;ABI2;WASF2;RNF41;SPRY1;SPRY2;STAM2;STUB1;TCIRG1;LAMC3;YAP1;VAV3;BAIAP2;SH2B2;MXD4;SPINT2;NRG3;GRAP;NCKAP1;WASF3;FRS3;FRS2;ADAP1;WWP1;CHEK1;CDC37;THEM4;AP2M1;AP2S1;CLTA;CLTC;CMA1;ATP6V1G3;COL1A1;COL1A2;COL2A1;COL3A1;COL4A1;COL4A2;COL4A3;COL4A4;COL4A5;COL5A1;COL5A2;COL6A1;COL6A2;COL6A3;COL9A1;COL9A2;COL9A3;COL11A1;COL11A2;COL6A6;CREB1;CRK;CRKL;MAPK14;FGFBP3;CSK;CSN2;NRG4;CTNNA1;CTNNB1;CTNND1;KLB;CYBA;CYBB;ATP6V0E2;AP2A1;AP2A2;SPRED1;AP2B1;DIAPH1;DOCK1;DOCK3;HBEGF;DUSP3;DUSP4;DUSP6;DUSP7;EGF;EGFR;SPRED2;MUC20;EPS15;ERBB2;ERBB3;ERBB4;EREG;AKT1;AKT2;ESR1;PTK2B;FER;FES;FGF1;FGF2;FGF3;FGF4;FGF5;FGF6;FGF7;FGF8;FGF9;FGF10;FGFR1;FGFR3;FGFR2;FGFR4;FIGF;VEGFD;NCBP2;TAB2;GGA3;CYFIP1;FLT1;FLT3;FLT3LG;FLT4;FN1;NCSTN;RBFOX2;ATP6V0A2;FLRT3;FLRT2;FLRT1;ATP6V0D2;ATP6V1C2;MTOR;RICTOR;FYN;GAB1;EPGN;COL24A1;COL6A5;SHC2;GALNT3;LRIG1;FGF20;PTPN18;GFAP;CYFIP2;FGF22;LAMA1;GRB7;GRB10;RAPGEF1;GTF2F1;GTF2F2;EPN1;SH3KBP1;NCKAP1L;HGF;HGFAC;NRG1;PIK3R4;HNRNPA1;HNRNPF;HNRNPH1;HPN;HSPB1;HSP90AA1;IGF1;APOE;IGF1R;IGF2;INS;INSR;IRS1;ITGA2;ITGA3;ITGAV;ITGB1;ITGB3;JAK2;JUP;ANOS1;AREG;KDR;KIT;ARF6;RHOA;LAMA2;LAMA3;LAMA4;LAMA5;LAMB1;LAMB2;LAMB3;LAMC1;LAMC2;STMN1;LCK;LYN;MATK;MET;KITLG;MMP9;MST1;MST1R;ATF1;HNRNPM;NCBP1;NCF2;NCF4;NCK1;NEDD4;NGF;NOS3;NTF3;NTF4;NTRK1;NTRK2;NTRK3;FURIN;PCSK6;COL5A3;PAK1;ATP6V0A4;PAK2;PAK3;MEMO1;APH1A;VRK3;PCSK5;ATP6V1D;PDE3B;PDGFA;PDGFB;PDGFRA;PDGFRB;ATP6V1H;PDPK1;WWOX;PGF;ATP6V1A;PGR;ATP6V1B1;ATP6V1B2;ATP6V0C;ATP6V1C1;PIK3C3;ATP6V1E1;PIK3CB;PIK3R2;PLAT;ATP6V0B;PLCG1;SHC3;ATP6V1G2;PLG;ATP6V0A1;ATP6AP1;FGFRL1;RAB4B;TLR9;POLR2A;POLR2B;POLR2C;POLR2D;POLR2E;POLR2F;POLR2G;POLR2H;POLR2I;POLR2J;POLR2K;POLR2L;ESRP1;PPP2R5D;PRR5;PRKACA;PRKACB;PRKACG;PRKCA;PRKCB;AXL;PRKCD;PRKCE;PAG1;BRK1;PSENEN;PRKCZ;ERBB2IP;ERBIN;MAPK7;MAPK11;MAPK13;PDGFC;PSEN1;PSEN2;PTBP1;PTK2;KIDINS220;PTK6;RANBP10;PTPN1;PTPN2;PTPN3;TRIB3;PTPN6;PTPN11;PTPN12;PTPRJ;PTPRK;PXN;EPS15L1;RAB4A;RAC1;RALGDS;RAP1A;RAP1B;RASA1;ACTB;ROCK1;RPS6KA1;RPS6KA2;RPS6KA3;BDNF;S100B;MAPK12;CXCL12;ELMO2;MLST8;SH3GL1;SH3GL2;SH3GL3;SHB;SHC1;TNS3;NCF1;SPARC;SPINT1;SPP1;BRAF;STAT1;STAT3;STAT5A;STAT5B;STAT6;BTC;TEC;TGFA;THBS1;THBS2;THBS3;THBS4;TIA1;TIAL1;ACTG1;VAV1;VAV2;VEGFA;VEGFB;VEGFC;YES1;MAPKAPK3;MAPKAP1;ESRP2;STAM;PDGFD;CUL5;FGF23;APH1B;ITCH;FGFBP2;NCK2;IRS4;AL035425.2;CILP;TNS4;;PIK3R3;COL27A1;DOCK7;MKNK1;CAV1;IRS2;CBL;FGF18;FGF17;FGF16;NRP2;NRP1;ARHGEF7;SPHK1;WASF1;ATP6V0E1;ATP6V1E2;SH2D2A;USP8;ATP6V0D1;HGS;RPS6KA5;MAPKAPK2;ATP6V1F;KL;GRAP2;ROCK2;NRG2;ATP6V1G1;BCAR1;NCOR1;ELMO1;GAB2;FGF19;CDC42;FGFBP1
